report_no,name,energy,protein,fat,carbohydrate,sugars,sodium,cholesterol,saturated_fat,trans_fat,dietary_fiber
20040182486991,2색 경단(냉동),321.0,5.88,0.0,73.53,16.18,326.0,0.0,0.0,0.0,0.0
20040182486997,2색 바람떡,312.0,6.0,0.0,70.0,14.0,336.0,0.0,0.0,0.0,0.0
20040194069201,1·3 달고 김치만두,196.0,7.8,8.6,21.8,0.64,477.0,7.78,3.04,0.16,0.0
20040194069202,1·3 달고 고기만두,239.0,8.8,12.2,23.6,0.57,414.0,10.99,3.75,0.45,0.0
20040257068145,GOPIZZA 생오이피클,63.0,0.27,0.67,14.0,10.8,287.0,0.0,0.0,0.0,0.0
20040257068174,BK 후레쉬 피클,79.0,2.0,0.3,17.0,12.0,292.0,0.0,0.0,0.0,0.0
20040257068180,AMERICAN PIZZA 생오이피클,63.0,0.4,0.53,14.0,10.8,28.0,0.0,0.0,0.0,0.0
200402750561033,100% 진짜 싱싱 유기농 레몬즙,32.0,0.4,0.1,7.3,1.6,6.0,0.0,0.0,0.0,0.0
200402750561103,100만 파로 효소,385.0,14.58,1.9,77.46,4.72,142.0,0.0,0.54,0.01,0.0
20040275056446,EVERY 노니 액상,50.0,0.0,0.0,10.0,10.0,70.0,0.0,0.0,0.0,0.0
20040275056932,5200 L-아르기닌 레몬콜라향,203.0,26.0,0.0,24.7,8.4,12.0,0.0,0.0,0.0,0.0
200402750571459,NEW 이건가요샌드,208.0,5.87,5.91,32.81,10.12,263.0,52.26,1.47,0.02,0.0
200402750571470,100%피넛버터그릭샌드,287.0,10.94,12.0,33.89,4.89,220.0,0.0,2.32,0.03,0.0
200402750571483,3가지맛 굿모닝 샌드위치,229.0,5.34,12.14,24.64,6.12,303.0,23.74,2.13,0.08,0.0
200402750571499,FROZEN 플레인식빵,231.0,6.05,2.5,45.97,4.97,430.0,0.0,0.81,0.0,0.0
200402750571500,FROZEN 호밀식빵,247.0,7.0,3.4,47.0,5.0,440.0,0.0,1.2,0.0,0.0
20040275057815,(반제)손보다빅버거,267.0,9.41,14.12,25.49,7.45,643.0,26.67,3.14,0.0,0.0
200403064182758,BELT 샌드위치,176.0,6.4,8.4,18.8,3.6,348.0,18.0,1.32,0.04,0.0
200403064182759,3가지 맛 굿모닝 샌드위치,216.0,4.9,11.43,23.27,7.76,278.0,32.66,2.45,0.04,0.0
200403064182770,FRESH!한입쏙미니버거,217.0,6.42,11.7,21.51,8.68,430.0,22.64,3.4,0.08,0.0
20040320032174,17곡미숫가루A+,410.0,16.0,6.0,74.0,1.0,15.0,0.0,1.0,0.0,0.0
20040347013423,(가또)미니우유케이크,325.0,3.75,21.88,28.13,14.38,63.0,112.5,11.88,0.44,0.0
20040347013424,(가또)로얄 티라미수 라운드,294.0,4.24,19.4,25.46,19.4,103.0,151.53,10.91,0.49,0.0
20040347013425,(가또)딸기포레누아 라운드 케이크,326.0,4.13,20.75,30.63,23.0,69.0,93.69,12.81,0.25,0.0
20040347013426,(가또)인절미 스퀘어,348.0,5.19,22.96,29.63,15.56,89.0,103.7,11.85,0.44,0.0
20040347013427,(가또)쑥 스퀘어,319.0,5.0,17.5,34.38,18.13,69.0,87.5,9.38,0.38,0.0
20040347013428,(가또)수플레치즈 케이크,300.0,5.63,18.75,26.88,18.75,163.0,146.88,10.63,0.44,0.0
20040347013429,(가또)쇼콜라로쉐,391.0,5.22,24.35,35.65,23.48,78.0,78.26,12.17,0.44,0.0
20040347013430,(가또)떠먹는 티라미스,314.0,7.14,16.64,34.07,22.07,108.0,185.72,6.36,0.29,0.0
20040347013431,(가또)뉴욕치즈케익,320.0,6.67,22.0,23.34,18.0,220.0,173.34,12.67,0.6,0.0
20040347013432,(가또)가나슈 딸기초코 케이크,312.0,3.08,20.0,29.23,21.54,54.0,73.07,13.08,0.39,0.0
20040347013433,(가또)헤이즐넛 초코 라운드,407.0,4.83,31.04,26.21,17.93,52.0,68.97,14.48,0.35,0.0
20040347013434,(가또)딸기생크림 케이크,270.0,3.0,15.0,29.0,18.0,50.0,90.0,9.0,0.5,0.0
20040355580247,BIG 새우볶음밥,178.0,3.5,2.5,35.0,2.0,305.0,15.0,0.5,0.0,0.0
20040355580248,BIG 김치볶음밥,168.0,3.0,4.0,30.0,5.5,445.0,0.0,0.5,0.0,0.0
20040355580311,BIG 왕교자만두,200.0,8.0,10.0,20.0,2.0,450.0,5.0,3.1,0.0,0.0
20040355580312,BIG 물만두,205.0,9.0,11.0,17.0,3.0,420.0,5.0,3.6,0.0,0.0
20040355580362,1am 모닝글로리곤약볶음밥 새우맛,133.0,6.0,1.65,23.5,1.0,215.0,12.5,0.25,0.0,0.0
20040355580363,1am 모닝글로리곤약볶음밥 갈비맛,155.0,7.0,2.05,27.0,3.5,305.0,10.5,0.3,0.0,0.0
20040358062184,CJ명가 토종김 참기름,625.0,20.0,55.0,15.0,0.0,1450.0,0.0,7.5,0.0,0.0
20040358062187,CJ명가 한식간장김,625.0,18.75,52.5,18.75,0.0,1500.0,0.0,0.0,0.0,0.0
20040358062194,CJ명가 토종김 들기름,600.0,15.0,56.0,15.0,0.0,1700.0,0.0,0.0,0.0,0.0
20040358062200,CJ명가 담백 구운김,350.0,40.0,4.0,40.0,0.0,900.0,25.0,0.0,0.0,0.0
20040358062202,CJ명가 죽염돌김,630.0,20.0,56.0,12.0,0.0,1980.0,10.0,4.4,0.0,0.0
20040358062213,HBAF재래구이김,615.0,12.0,55.0,18.0,0.12,1730.0,15.0,7.0,0.2,0.0
2004035806254,CJ명가 김밥김,350.0,40.0,4.5,40.0,0.0,1450.0,17.5,0.0,0.0,0.0
20040415088365,Good Shot Jelly (굿샷 젤리),213.0,6.67,0.0,53.33,46.67,7.0,0.0,0.0,0.0,0.0
20040415088366,Black Garlic Jelly (흑마늘 젤리),227.0,6.67,0.0,60.0,53.33,7.0,0.0,0.0,0.0,0.0
20040415088368,Black Balloon Flower Jelly (흑도라지 젤리),180.0,6.67,0.0,46.67,40.0,7.0,0.0,0.0,0.0,0.0
20040415088418,Cheery Collagen Glutathion Jelly(체리콜라겐글루타치온 젤리),160.0,5.2,0.0,40.0,35.0,0.0,0.0,0.0,0.0,0.0
20040415088419,Glutathione Jeju Tangerine Jelly(글루타치온 제주감귤젤리),225.0,5.15,0.0,55.0,50.0,0.0,0.0,0.0,0.0,0.0
20040415088426,Glutathione Turmeric Jelly(글루타치온 강황젤리),115.0,2.5,0.0,30.0,25.0,0.0,0.0,0.0,0.0,0.0
200404490103636,16결 데니쉬 식빵,412.0,6.15,27.69,33.85,10.0,500.0,69.23,8.46,0.23,0.0
200404490103849,(홀)초콜릿 부쉬드 노엘,395.0,5.0,26.0,35.0,33.0,140.0,150.0,12.0,0.1,0.0
200404490103851,(홀)꿀 고구마 생크림 케이크,355.0,3.0,25.0,30.0,29.0,115.0,85.0,11.0,0.4,0.0
200404490103948,(홀)스노우 크레이프 부쉬 드 노엘,322.0,4.0,26.0,18.0,17.0,179.0,112.0,13.0,0.3,0.0
200404490103954,(홀)산타 베어리스타 딸기 케이크,366.0,2.0,30.0,22.0,20.0,108.0,108.0,11.0,0.4,0.0
200404490103958,(홀)밀레앙 딸기 프렌치 플랑,243.0,4.0,15.0,23.0,20.0,133.0,81.0,8.0,0.3,0.0
200404490104120,6쪽 토스트 식빵,248.0,6.78,8.39,36.45,5.81,380.0,0.0,3.87,0.07,0.0
2004045900538,100%통밀우리밀통밀식빵,269.0,14.4,4.79,42.16,1.99,200.0,2.01,0.49,0.0,0.0
2004045900542,100%통밀우리밀호두살구식빵,293.0,15.6,6.3,43.5,4.5,159.0,3.2,1.2,0.1,0.0
